*************False Position Method*************


Iteration         x0           x1                   x2               Error

  1          4.000000         9.000000          5.111111          0.760870
  2          5.111111         9.000000          5.538462          0.625000
  3          5.538462         9.000000          5.678832          0.584833
  4          5.678832         9.000000          5.722488          0.572742
  5          5.722488         9.000000          5.735832          0.569084
  6          5.735832         9.000000          5.739889          0.567974
  7          5.739889         9.000000          5.741121          0.567638
  8          5.741121         9.000000          5.741495          0.567536
  9          5.741495         9.000000          5.741608          0.567505
  10          5.741608         9.000000          5.741642          0.567496
