*************Secant Method*************


Iteration         x0           x1                   x2               Error

  1          4.000000         2.000000          9.000000          0.777778
  2          2.000000         9.000000          4.000000          1.250000
  3          9.000000         4.000000          5.111111          0.217391
  4          4.000000         5.111111          5.956522          0.141930
  5          5.111111         5.956522          5.722488          0.040897
  6          5.956522         5.722488          5.741121          0.003246
  7          5.722488         5.741121          5.741659          0.000094
  8          5.741121         5.741659          5.741657          0.000000
  9          5.741659         5.741657          5.741657          0.000000
  10          5.741657         5.741657          5.741657          0.000000
