*************Secant Method*************


Iteration         x0           x1                   x2               Error

  1          2.000000         4.000000          9.000000          0.555556
  2          4.000000         9.000000          5.111111          0.760870
  3          9.000000         5.111111          5.538462          0.077160
  4          5.111111         5.538462          5.760925          0.038616
  5          5.538462         5.760925          5.741121          0.003450
  6          5.760925         5.741121          5.741656          0.000093
  7          5.741121         5.741656          5.741657          0.000000
  8          5.741656         5.741657          5.741657          0.000000
  9          5.741657         5.741657          5.741657          0.000000
